ticker,mentions,Upvotes,Total Comments,Change (1d),date
SPOT,3,1486,383,200.0,2025-07-30
SRPT,5,217,196,400.0,2025-07-30
SST,1,11,1,0.0,2025-07-30
STAI,2,15,12,100.0,2025-07-30
STR,1,33,46,0.0,2025-07-30
SU,2,6698,390,100.0,2025-07-30
THC,1,5,18,0.0,2025-07-30
TLRY,1,102,61,0.0,2025-07-30
TNFA,1,14,9,0.0,2025-07-30
TSLA,5,256,103,400.0,2025-07-30
UBER,1,2,5,0.0,2025-07-30
UBS,2,6,10,100.0,2025-07-30
UI,1,2,1,0.0,2025-07-30
UNH,4,855,447,300.0,2025-07-30
UP,1,5,6,0.0,2025-07-30
UPS,2,2,40,100.0,2025-07-30
UUUU,1,2,6,0.0,2025-07-30
VAPE,1,8,11,0.0,2025-07-30
VC,1,9,1,0.0,2025-07-30
VENU,1,155,48,0.0,2025-07-30
VFC,1,13,4,0.0,2025-07-30
VGZ,1,3,1,0.0,2025-07-30
VWAV,1,0,1,0.0,2025-07-30
WEN,1,195,69,0.0,2025-07-30
WKSP,1,19,5,0.0,2025-07-30
WLGS,1,116,92,0.0,2025-07-30
YHC,2,33,41,100.0,2025-07-30
